Page Title,Column1,Column2,Column3,Column4,Column5,Column6,Column7
Medal winners Athina 1896,"Sprint, Men",Paul Masson,FRA,Stamatios Nikolopoulos,GRE,Léon Flameng,FRA
Medal winners Athina 1896,"333⅓ metres Time Trial, Men",Paul Masson,FRA,Stamatios Nikolopoulos,GRE,Adolf Schmal,AUT
Medal winners Athina 1896,"10,000 metres, Men",Paul Masson,FRA,Léon Flameng,FRA,Adolf Schmal,AUT
Medal winners Athina 1896,"100 kilometres, Men",Léon Flameng,FRA,Georgios Koletis,GRE,—,—
Medal winners Athina 1896,"12-Hours Race, Men",Adolf Schmal,AUT,Frederick Keeping,GBR,—,—
Medal winners Athina 1896,Fencing,,,,,,
Medal winners Athina 1896,"Foil, Individual, Men",Eugène Henry Gravelotte,FRA,Henri Callot,FRA,Alexandros  VourosPeriklis Pierrakos-Mavromichalis,GREGRE
Medal winners Athina 1896,"Foil, Masters, Individual, Men",Leon Pyrgos,GRE,Joanni Perronet,FRA,—,—
Medal winners Athina 1896,"Sabre, Individual, Men",Ioannis Georgiadis,GRE,Tilemachos Karakalos,GRE,Holger Nielsen,DEN
Medal winners Athina 1896,Shooting,,,,,,
Medal winners Athina 1896,"Free Pistol, 30 metres, Men",Sumner Paine,USA,Holger Nielsen,DEN,Ioannis Fragkoudis,GRE
Medal winners Athina 1896,"Military Pistol, 25 metres, Men",John Paine,USA,Sumner Paine,USA,Nikos Morakis,GRE
Medal winners Athina 1896,"Muzzle-Loading Pistol, 25 metres, Men",Ioannis Fragkoudis,GRE,Georgios Orfanidis,GRE,Holger Nielsen,DEN
Medal winners Athina 1896,"Free Rifle, Any Position, 300 metres, Men",Georgios Orfanidis,GRE,Ioannis Fragkoudis,GRE,Viggo Jensen,DEN
Medal winners Athina 1896,"Military Rifle, 200 metres, Men",Pantelis Karasevdas,GRE,Pavlos Pavlidis,GRE,Nikolaos Trikoupis,GRE
Medal winners Athina 1896,Swimming,,,,,,
Medal winners Athina 1896,"100 metres Freestyle, Men",Alfréd Hajós,HUN,Otto Herschmann,AUT,—,—
Medal winners Athina 1896,"500 metres Freestyle, Men",Paul Neumann,AUT,Antonios Pepanos,GRE,Efstathios Chorafas,GRE
Medal winners Athina 1896,"1,200 metres Freestyle, Men",Alfréd Hajós,HUN,Ioannis Andreou,GRE,—,—
Medal winners Athina 1896,"100 metres Freestyle For Sailors, Men",Ioannis Malokinis,GRE,Spyros Chazapis,GRE,Dimitrios Drivas,GRE
Medal winners Athina 1896,Tennis,,,,,,
Medal winners Athina 1896,"Singles, Men",John Pius Boland,GBR,Demetrius Casdagli,GRE,Konstantinos PaspatisMomcsilló Tapavicza,GREHUN
Medal winners Athina 1896,"Doubles, Men",Mixed team 2,MIX,Greece 1,GRE,Mixed team 1,MIX
Medal winners Athina 1896,Weightlifting,,,,,,
Medal winners Athina 1896,"Unlimited, One Hand, Men",Launceston Elliot,GBR,Viggo Jensen,DEN,Alexandros Nikolopoulos,GRE
Medal winners Athina 1896,"Unlimited, Two Hands, Men",Viggo Jensen,DEN,Launceston Elliot,GBR,Sotirios Versis,GRE
Medal winners Athina 1896,Wrestling,,,,,,
Medal winners Athina 1896,"Unlimited Class, Greco-Roman, Men",Carl Schuhmann,GER,Georgios Tsitas,GRE,Stefanos Christopoulos,GRE
Medal winners Paris 1900,Archery,,,,,,
Medal winners Paris 1900,"Au Chapelet, 33 metres, Men",Hubert Van Innis,BEL,Victor Thibault,FRA,Frédéric Petit,FRA
Medal winners Paris 1900,"Au Chapelet, 50 metres, Men",Eugène Mougin,FRA,Henri Helle,FRA,Émile Mercier,FRA
Medal winners Paris 1900,"Au Cordon Doré, 33 metres, Men",Hubert Van Innis,BEL,Victor Thibault,FRA,Frédéric Petit,FRA
Medal winners Paris 1900,"Au Cordon Doré, 50 metres, Men",Henri Hérouin,FRA,Hubert Van Innis,BEL,Émile Fisseux,FRA
Medal winners Paris 1900,"Sur La Perche À La Herse, Men",Emmanuel Foulon,BEL,Auguste Serrurier,FRA,"Druart, Jr.",BEL
Medal winners Paris 1900,"Sur La Perche À La Pyramide, Men",Émile Grumiaux,FRA,Auguste Serrurier,FRA,Louis Glineur,BEL
Medal winners Paris 1900,"Championnat Du Monde, Men",Henri Hérouin,FRA,Hubert Van Innis,BEL,—,—
Medal winners Paris 1900,Artistic Gymnastics,,,,,,
Medal winners Paris 1900,"Individual All-Around, Men",Gustave Sandras,FRA,Noël Bas,FRA,Lucien Démanet,FRA
Medal winners Paris 1900,Athletics,,,,,,
Medal winners Paris 1900,"60 metres, Men",Al Kraenzlein,USA,Walter Tewksbury,USA,Stan RowleyStan Rowley,AUSAUS
Medal winners Paris 1900,"100 metres, Men",Frank Jarvis,USA,Walter Tewksbury,USA,Stan RowleyStan Rowley,AUSAUS
Medal winners Paris 1900,"200 metres, Men",Walter Tewksbury,USA,Norman Pritchard,IND,Stan RowleyStan Rowley,AUSAUS
Medal winners Paris 1900,"400 metres, Men",Maxey Long,USA,Bill Holland,USA,Ernst Schultz,DEN
Medal winners Paris 1900,"800 metres, Men",Alfred Tysoe,GBR,John Cregan,USA,Dave Hall,USA
Medal winners Paris 1900,"1,500 metres, Men",Charles Bennett,GBR,Henry Deloge,FRA,John Bray,USA
Medal winners Paris 1900,"Marathon, Men",Michel Théato,FRA,Émile Champion,FRA,Ernst Fast,SWE
Medal winners Paris 1900,"110 metres Hurdles, Men",Al Kraenzlein,USA,John McLean,USA,Fred Moloney,USA
Medal winners Paris 1900,"200 metres Hurdles, Men",Al Kraenzlein,USA,Norman Pritchard,IND,Walter Tewksbury,USA
Medal winners Paris 1900,"400 metres Hurdles, Men",Walter Tewksbury,USA,Henri Tauzin,FRA,George Orton,USA
Medal winners Paris 1900,"2,500 metres Steeplechase, Men",George Orton,USA,Sidney Robinson,GBR,Jean Chastanié,FRA
Medal winners Paris 1900,"4,000 metres Steeplechase, Men",Jack Rimmer,GBR,Charles Bennett,GBR,Sidney Robinson,GBR
Medal winners Paris 1900,"5,000 metres, Team, Men",Amateur Athletic Association,GBR,Racing Club de France,FRA,—,—
Medal winners Paris 1900,"High Jump, Men",Irv Baxter,USA,Pat Leahy,GBR,Lajos Gönczy,HUN
Medal winners Paris 1900,"Standing High Jump, Men",Ray Ewry,USA,Irv Baxter,USA,Lewis Sheldon,USA
Medal winners Paris 1900,"Pole Vault, Men",Irv Baxter,USA,Meredith Colket,USA,Carl Albert Andersen,NOR
Medal winners Paris 1900,"Long Jump, Men",Al Kraenzlein,USA,Meyer Prinstein,USA,Pat Leahy,GBR
Medal winners Paris 1900,"Standing Long Jump, Men",Ray Ewry,USA,Irv Baxter,USA,Émile Torchebœuf,FRA
Medal winners Paris 1900,"Triple Jump, Men",Meyer Prinstein,USA,James B. Connolly,USA,Lewis Sheldon,USA
Medal winners Paris 1900,"Standing Triple Jump, Men",Ray Ewry,USA,Irv Baxter,USA,Bob Garrett,USA
Medal winners Paris 1900,"Shot Put, Men",Dick Sheldon,USA,Josiah McCracken,USA,Bob Garrett,USA
Medal winners Paris 1900,"Discus Throw, Men",Rudolf Bauer,HUN,František Janda-Suk,BOH,Dick Sheldon,USA
Medal winners Paris 1900,"Hammer Throw, Men",John Flanagan,USA,Truxtun Hare,USA,Josiah McCracken,USA
Medal winners Paris 1900,Basque pelota,,,,,,
Medal winners Paris 1900,"Two-Man Teams With Cesta, Men",Spain,ESP,—,—,—,—
Medal winners Paris 1900,Cricket,,,,,,
Medal winners Paris 1900,"Cricket, Men",Devon and Somerset Wanderers,GBR,Union des Sociétés Français de Sports Athletiques,FRA,—,—
Medal winners Paris 1900,Croquet,,,,,,
Medal winners Paris 1900,"Singles, One Ball, Open",Gaston Aumoitte,FRA,Georges Johin,FRA,Chrétien Waydelich,FRA
Medal winners Paris 1900,"Singles, Two Balls, Open",Chrétien Waydelich,FRA,Maurice Vignerot,FRA,Jacques Sautereau,FRA
Medal winners Paris 1900,"Doubles, Open",France,FRA,—,—,—,—
Medal winners Paris 1900,Cycling Track,,,,,,
Medal winners Paris 1900,"Sprint, Men",Albert Taillandier,FRA,Fernand Sanz,FRA,John Lake,USA
Medal winners Paris 1900,"Points Race, Men",Enrico Brusoni,ITA,Karl Duill,GER,Louis Trousselier,FRA
Medal winners Paris 1900,"25 kilometres, Men",Louis Bastien,FRA,Lloyd Hildebrand,FRA,Auguste Daumain,FRA
Medal winners Paris 1900,Equestrian Dressage,,,,,,
Medal winners Paris 1900,"Hacks and Hunter Combined, Open",Louis Napoléon Murat,FRA,Victor Archenoul,FRA,"Robert, Comte de Montesquiou-Fézensac",FRA
Medal winners Paris 1900,Equestrian Driving,,,,,,
Medal winners Paris 1900,"Four-In-Hand Competition, Open",Georges Nagelmackers,BEL,Léon Thome,FRA,"Jean, Baron de Neuflize",FRA
Medal winners Paris 1900,Equestrian Jumping,,,,,,
Medal winners Paris 1900,"Individual, Open",Aimé Haegeman,BEL,Georges Van De Poele,BEL,Louis de Champsavin,FRA
Medal winners Paris 1900,"Long Jump, Open",Constant Van Langhendonck,BEL,"Giangiorgio, Conte Trissino",ITA,Jacques de Prunelé,FRA
Medal winners Paris 1900,"High Jump, Open","Dominique GardèresGiangiorgio, Conte Trissino",FRAITA,—,—,Georges Van De Poele,BEL
Medal winners Paris 1900,Fencing,,,,,,
Medal winners Paris 1900,"Foil, Individual, Men",Émile Coste,FRA,Henri Masson,FRA,Marcel Boulenger,FRA
Medal winners Paris 1900,"Foil, Masters, Individual, Men",Lucien Mérignac,FRA,Alphonse Kirchhoffer,FRA,Jean-Baptiste Mimiague,FRA
Medal winners Paris 1900,"Épée, Individual, Men",Ramón Fonst,CUB,Louis Perrée,FRA,Léon Sée,FRA
Medal winners Paris 1900,"Épée, Masters, Individual, Men",Albert Ayat,FRA,Gilbert Bougnol,FRA,Henri Laurent,FRA
Medal winners Paris 1900,"Épée, Masters and Amateurs, Individual, Men",Albert Ayat,FRA,Ramón Fonst,CUB,Léon Sée,FRA
Medal winners Paris 1900,"Sabre, Individual, Men","Gabriel, Comte de la Falaise",FRA,Léon Thiébaut,FRA,Fritz Flesch,AUT
Medal winners Paris 1900,"Sabre, Masters, Individual, Men",Antonio Conte,ITA,Italo Santelli,ITA,Milan Neralić,AUT
Medal winners Paris 1900,Football,,,,,,
Medal winners Paris 1900,"Football, Men",Upton Park FC,GBR,USFSA,FRA,Univ. of Brussels,BEL
Medal winners Paris 1900,Golf,,,,,,
Medal winners Paris 1900,"Individual, Men",Charles Sands,USA,Walter Rutherford,GBR,David Robertson,GBR
Medal winners Paris 1900,"Individual, Women",Margaret Abbott,USA,Polly Whittier,SUI,Abbie Pratt,FRA
Medal winners Paris 1900,Polo,,,,,,
Medal winners Paris 1900,"Polo, Men",Foxhunters Hurlingham,GBR,"BLO Polo Club, Rugby",GBR,Polo Club de ParisA North American Team,FRAMIX
Medal winners Paris 1900,Rowing,,,,,,
Medal winners Paris 1900,"Single Sculls, Men",Hermann Barrelet,FRA,André Gaudin,FRA,St George Ashe,GBR
Medal winners Paris 1900,"Coxed Pairs, Men",Minerva Amsterdam,NED,Societé Nautique de la Marne,FRA,Rowing Club Castillon,FRA
Medal winners Paris 1900,"Coxed Fours, Men",Cercle de l'Aviron Roubaix,FRA,Club Nautique de Lyon,FRA,Favorite Hammonia,GER
Medal winners Paris 1900,"Coxed Fours, Men","Germania Ruder Club, Hamburg",GER,Minerva Amsterdam,NED,Ludwigshafener Ruder Verein,GER
Medal winners Paris 1900,"Eights, Men",Vesper Boat Club,USA,Royal Club Nautique de Gand,BEL,Minerva Amsterdam,NED
Medal winners Paris 1900,Rugby,,,,,,
Medal winners Paris 1900,"Rugby, Men",Union des Sociétés Français de Sports Athletiques,FRA,Moseley WanderersFrankfurt Club,GBRGER,—,—
Medal winners Paris 1900,Sailing,,,,,,
Medal winners Paris 1900,"Open, Open",Scotia,GBR,Aschenbrodel,GER,Turquoise,FRA
Medal winners Paris 1900,"0-½ Ton, Open",Baby,FRA,Quand-Même,FRA,Sarcelle,FRA
Medal winners Paris 1900,"0-½ Ton, Open",Fantlet,FRA,Quand-Même,FRA,Baby,FRA
Medal winners Paris 1900,"½-1 Ton, Open",Scotia,GBR,Crabe II,FRA,Scamasaxe,FRA
Medal winners Paris 1900,"½-1 Ton, Open",Carabinier,FRA,Scamasaxe,FRA,Crabe II,FRA
Medal winners Paris 1900,"1-2 Ton, Open",Lerina,SUI,Martha,FRA,Nina Claire,FRA
Medal winners Paris 1900,"1-2 Ton, Open",Aschenbrodel,GER,Lerina,SUI,Martha,FRA
Medal winners Paris 1900,"2-3 Ton, Open",Olle,FRA,Favorite,FRA,Gwendoline,FRA
Medal winners Paris 1900,"2-3 Ton, Open",Olle,FRA,Favorite,FRA,Mignon,FRA
Medal winners Paris 1900,"3-10 Ton, Open",Femur,FRA,Mascotte,NED,Gitana,FRA
Medal winners Paris 1900,"3-10 Ton, Open",Bona Fide,GBR,Gitana,FRA,Frimousse,USA
Medal winners Paris 1900,"10-20 Ton, Open",Esterel,FRA,Quand-Même,FRA,Laurea,GBR
Medal winners Paris 1900,"20+ Ton, Open",Cicely,GBR,Brynhild,GBR,Formosa,USA
Medal winners Paris 1900,Shooting,,,,,,
Medal winners Paris 1900,"Free Pistol, 50 metres, Men",Conrad Karl Röderer,SUI,Achille Paroche,FRA,Konrad Stäheli,SUI
Medal winners Paris 1900,"Free Pistol, 50 metres, Team, Men",Switzerland,SUI,France,FRA,Netherlands,NED
Medal winners Paris 1900,"Free Rifle, Three Positions, 300 metres, Men",Emil Kellenberger,SUI,Anders Peter Nielsen,DEN,Paul Van AsbroeckOle Østmo,BELNOR
Medal winners Paris 1900,"Free Rifle, Three Positions, 300 metres, Team, Men",Switzerland,SUI,Norway,NOR,France,FRA
Medal winners Paris 1900,"Free Rifle, Kneeling, 300 metres, Men",Konrad Stäheli,SUI,Anders Peter NielsenEmil Kellenberger,DENSUI,—,—
Medal winners Paris 1900,"Free Rifle, Prone, 300 metres, Men",Achille Paroche,FRA,Anders Peter Nielsen,DEN,Ole Østmo,NOR
Medal winners Paris 1900,"Free Rifle, Standing, 300 metres, Men",Lars Jørgen Madsen,DEN,Ole Østmo,NOR,Charles Paumier du Verger,BEL
Medal winners Paris 1900,"Trap, Men",Roger de Barbarin,FRA,René Guyot,BEL,"Justinien, Comte Clary",FRA
Medal winners Paris 1900,Swimming,,,,,,
Medal winners Paris 1900,"200 metres Freestyle, Men",Fred Lane,GBR,Zoltán Halmay,HUN,Karl Ruberl,AUT
Medal winners Paris 1900,"1,000 metres Freestyle, Men",John Jarvis,GBR,Otto Wahle,AUT,Zoltán Halmay,HUN
Medal winners Paris 1900,"4,000 metres Freestyle, Men",John Jarvis,GBR,Zoltán Halmay,HUN,Louis Martin,FRA
Medal winners Paris 1900,"200 metres Backstroke, Men",Ernst Hoppenberg,GER,Karl Ruberl,AUT,Johannes Drost,NED
Medal winners Paris 1900,"Underwater Swimming, Men",Charles Devendeville,FRA,André Six,FRA,Peder Lykkeberg,DEN
Medal winners Paris 1900,"200 metres Obstacle Course, Men",Fred Lane,GBR,Otto Wahle,AUT,Peter Kemp,GBR
Medal winners Paris 1900,"200 metres Team Swimming, Men",Deutscher Schwimm Verband Berlin,GER,Tritons Lillois,FRA,Pupilles de Neptune de Lille,FRA
Medal winners Paris 1900,Tennis,,,,,,
Medal winners Paris 1900,"Singles, Men",Laurie Doherty,GBR,Harold Mahony,GBR,Reggie DohertyArthur Norris,GBRGBR
Medal winners Paris 1900,"Doubles, Men",Great Britain 1,GBR,Mixed team 1,MIX,France 1Great Britain 2,FRAGBR
Medal winners Paris 1900,"Singles, Women",Charlotte Cooper,GBR,Yvonne Prévost,FRA,Hedwig RosenbaumMarion Jones,BOHUSA
Medal winners Paris 1900,"Doubles, Mixed",Great Britain,GBR,Mixed team 1,MIX,Mixed team 2Mixed team 3,MIXMIX
Medal winners Paris 1900,Tug-Of-War,,,,,,
Medal winners Paris 1900,"Tug-Of-War, Men",Mixed team,MIX,Racing Club de France,FRA,—,—
Medal winners Paris 1900,Water Polo,,,,,,
Medal winners Paris 1900,"Water Polo, Men","Osborne Swimming Club, Manchester",GBR,Brussels Swimming and Water Polo Club,BEL,Libellule de ParisPupilles de Neptune de Lille #2,FRAFRA
Medal winners St. Louis 1904,Archery,,,,,,
Medal winners St. Louis 1904,"Double American Round, Men",Phil Bryant,USA,Robert Williams,USA,Will Thompson,USA
Medal winners St. Louis 1904,"Double York Round, Men",Phil Bryant,USA,Robert Williams,USA,Will Thompson,USA
Medal winners St. Louis 1904,"Team Round, Men",Potomac Archers,USA,Cincinnati Archers,USA,Boston Archers,USA
Medal winners St. Louis 1904,"Double Columbia Round, Women",Lida Howell,USA,Emma Cooke,USA,Eliza Pollock,USA
Medal winners St. Louis 1904,"Double National Round, Women",Lida Howell,USA,Emma Cooke,USA,Eliza Pollock,USA
Medal winners St. Louis 1904,"Team Round, Women",Cincinnati Archers,USA,—,—,—,—
Medal winners St. Louis 1904,Artistic Gymnastics,,,,,,
Medal winners St. Louis 1904,"Individual All-Around, Men",Julius Lenhart,USA,Wilhelm Weber,GER,Adolf Spinnler,GER
Medal winners St. Louis 1904,"Individual All-Around, Field Sports, Men",Max Emmerich,USA,John Grieb,USA,William Merz,USA
Medal winners St. Louis 1904,"Individual All-Around, 4 Events, Men",Anton Heida,USA,George Eyser,USA,William Merz,USA
Medal winners St. Louis 1904,"Individual All-Around, Apparatus Work, Men",Adolf Spinnler,GER,Julius Lenhart,USA,Wilhelm Weber,GER
Medal winners St. Louis 1904,"Team All-Around, Men","Philadelphia Turngemeinde, Philadelphia",USA,"New York Turnverein, New York",USA,"Central Turnverein, Chicago",USA
Medal winners St. Louis 1904,"Horse Vault, Men",Anton HeidaGeorge Eyser,USAUSA,—,—,William Merz,USA
Medal winners St. Louis 1904,"Parallel Bars, Men",George Eyser,USA,Anton Heida,USA,John Duha,USA
Medal winners St. Louis 1904,"Horizontal Bar, Men",Anton HeidaEd Hennig,USAUSA,—,—,George Eyser,USA
Medal winners St. Louis 1904,"Rings, Men",Herman Glass,USA,William Merz,USA,Emil Voigt,USA
Medal winners St. Louis 1904,"Rope Climbing, Men",George Eyser,USA,Charles Krause,USA,Emil Voigt,USA
Medal winners St. Louis 1904,"Club Swinging, Men",Ed Hennig,USA,Emil Voigt,USA,Ralph Wilson,USA
Medal winners St. Louis 1904,"Side Horse, Men",Anton Heida,USA,George Eyser,USA,William Merz,USA
Medal winners St. Louis 1904,Athletics,,,,,,
Medal winners St. Louis 1904,"60 metres, Men",Archie Hahn,USA,Bill Hogenson,USA,Fay Moulton,USA
Medal winners St. Louis 1904,"100 metres, Men",Archie Hahn,USA,Nate Cartmell,USA,Bill Hogenson,USA
Medal winners St. Louis 1904,"200 metres, Men",Archie Hahn,USA,Nate Cartmell,USA,Bill Hogenson,USA
Medal winners St. Louis 1904,"400 metres, Men",Harry Hillman,USA,Frank Waller,USA,Herman Groman,USA
Medal winners St. Louis 1904,"800 metres, Men",Jim Lightbody,USA,Howard Valentine,USA,Emil Breitkreutz,USA
Medal winners St. Louis 1904,"1,500 metres, Men",Jim Lightbody,USA,Bill Verner,USA,Lacey Hearn,USA
Medal winners St. Louis 1904,"Marathon, Men",Tom Hicks,USA,Albert Corey,USA,Arthur Newton,USA
Medal winners St. Louis 1904,"110 metres Hurdles, Men",Fred Schule,USA,Thad Shideler,USA,Lesley Ashburner,USA
Medal winners St. Louis 1904,"200 metres Hurdles, Men",Harry Hillman,USA,Frank Castleman,USA,George Poage,USA
Medal winners St. Louis 1904,"400 metres Hurdles, Men",Harry Hillman,USA,Frank Waller,USA,George Poage,USA
Medal winners St. Louis 1904,"2,590 metres Steeplechase, Men",Jim Lightbody,USA,John Daly,GBR,Arthur Newton,USA
Medal winners St. Louis 1904,"4 miles, Team, Men",New York Athletic Club,USA,Chicago Athletic Association,USA,—,—
Medal winners St. Louis 1904,"High Jump, Men",Sam Jones,USA,Garrett Serviss,USA,Paul Weinstein,GER
Medal winners St. Louis 1904,"Standing High Jump, Men",Ray Ewry,USA,Joseph Stadler,USA,Lawson Robertson,USA
Medal winners St. Louis 1904,"Pole Vault, Men",Charles Dvorak,USA,LeRoy Samse,USA,Lou Wilkins,USA
Medal winners St. Louis 1904,"Long Jump, Men",Meyer Prinstein,USA,Dan Frank,USA,Robert Stangland,USA
Medal winners St. Louis 1904,"Standing Long Jump, Men",Ray Ewry,USA,Con King,USA,John Biller,USA
Medal winners St. Louis 1904,"Triple Jump, Men",Meyer Prinstein,USA,Fred Engelhardt,USA,Robert Stangland,USA
Medal winners St. Louis 1904,"Standing Triple Jump, Men",Ray Ewry,USA,Con King,USA,Joseph Stadler,USA
Medal winners St. Louis 1904,"Shot Put, Men",Ralph Rose,USA,Wesley Coe,USA,Lawrence Feuerbach,USA
Medal winners St. Louis 1904,"56-pound Weight Throw, Men",Étienne Desmarteau,CAN,John Flanagan,USA,Jim Mitchel,USA
Medal winners St. Louis 1904,"Discus Throw, Men",Martin Sheridan,USA,Ralph Rose,USA,Nikolaos Georgantas,GRE
Medal winners St. Louis 1904,"Hammer Throw, Men",John Flanagan,USA,John DeWitt,USA,Ralph Rose,USA
Medal winners St. Louis 1904,"All-Around Championship, Men",Tom Kiely,GBR,Adam Gunn,USA,Truxtun Hare,USA
Medal winners St. Louis 1904,Boxing,,,,,,
Medal winners St. Louis 1904,"Flyweight, Men",George Finnegan,USA,Miles Burke,USA,—,—
Medal winners St. Louis 1904,"Bantamweight, Men",Oliver Kirk,USA,George Finnegan,USA,—,—
Medal winners St. Louis 1904,"Featherweight, Men",Oliver Kirk,USA,Frank Haller,USA,Fred Gilmore,USA
Medal winners St. Louis 1904,"Lightweight, Men",Harry Spanjer,USA,Russell Van Horn,USA,Peter Sturholdt,USA
Medal winners St. Louis 1904,"Welterweight, Men",Al Young,USA,Harry Spanjer,USA,Joe Lydon,USA
Medal winners St. Louis 1904,"Middleweight, Men",Charles Mayer,USA,Ben Spradling,USA,—,—
Medal winners St. Louis 1904,"Heavyweight, Men",Sam Berger,USA,Charles Mayer,USA,Bill Michaels,USA
Medal winners St. Louis 1904,Cycling Track,,,,,,
Medal winners St. Louis 1904,"¼ mile, Men",Marcus Hurley,USA,Burton Downing,USA,Teddy Billington,USA
Medal winners St. Louis 1904,"⅓ mile, Men",Marcus Hurley,USA,Burton Downing,USA,Teddy Billington,USA
Medal winners St. Louis 1904,"½ mile, Men",Marcus Hurley,USA,Teddy Billington,USA,Burton Downing,USA
Medal winners St. Louis 1904,"1 mile, Men",Marcus Hurley,USA,Burton Downing,USA,Teddy Billington,USA
Medal winners St. Louis 1904,"2 miles, Men",Burton Downing,USA,Oscar Goerke,USA,Marcus Hurley,USA
Medal winners St. Louis 1904,"5 miles, Men",Charles Schlee,USA,George Wiley,USA,Arthur Andrews,USA
Medal winners St. Louis 1904,"25 miles, Men",Burton Downing,USA,Arthur Andrews,USA,George Wiley,USA
Medal winners St. Louis 1904,Diving,,,,,,
Medal winners St. Louis 1904,"Springboard, Men",George Sheldon,USA,Georg Hoffmann,GER,Frank Kehoe,USA
Medal winners St. Louis 1904,Fencing,,,,,,
Medal winners St. Louis 1904,"Foil, Individual, Men",Ramón Fonst,CUB,Albertson Van Zo Post,USA,Charles Tatham,USA
Medal winners St. Louis 1904,"Foil, Team, Men",Mixed team,MIX,United States,USA,—,—
Medal winners St. Louis 1904,"Épée, Individual, Men",Ramón Fonst,CUB,Charles Tatham,USA,Albertson Van Zo Post,USA
Medal winners St. Louis 1904,"Sabre, Individual, Men",Manuel Díaz,CUB,William Grebe,USA,Albertson Van Zo Post,USA
Medal winners St. Louis 1904,"Single Sticks, Individual, Men",Albertson Van Zo Post,USA,William Scott O'Connor,USA,William Grebe,USA
Medal winners St. Louis 1904,Football,,,,,,
Medal winners St. Louis 1904,"Football, Men",Galt Football Club,CAN,Christian Brothers' College,USA,St. Rose,USA
Medal winners St. Louis 1904,Golf,,,,,,
Medal winners St. Louis 1904,"Individual, Men",George Lyon,CAN,Chandler Egan,USA,Burt McKinnieFrank Newton,USAUSA
Medal winners St. Louis 1904,"Team, Men",Western Golf Association,USA,Trans-Mississippi Golf Association,USA,United States Golf Association,USA
Medal winners St. Louis 1904,Lacrosse,,,,,,
Medal winners St. Louis 1904,"Lacrosse, Men",Winnipeg Shamrocks,CAN,St. Louis Amateur Athletic Association,USA,Mohawk Indians,CAN
Medal winners St. Louis 1904,Roque,,,,,,
Medal winners St. Louis 1904,"Singles, Men",Charles Jacobus,USA,Smith Streeter,USA,Charles Brown,USA
Medal winners St. Louis 1904,Rowing,,,,,,
Medal winners St. Louis 1904,"Single Sculls, Men",Frank Greer,USA,Jim Juvenal,USA,Constance Titus,USA
Medal winners St. Louis 1904,"Double Sculls, Men",Atalanta Boat Club,USA,Ravenswood Boat Club,USA,Independent Rowing Club,USA
